Condition,mean,median,n,sd,sem,CI,IQR,CImedian
01,0.7939556,0.757917,70,0.135517617,0.016197453,-0.032313035,0.13318725,0.025151895
 Control,0.733686196,0.717433,51,0.082584694,0.01156417,-0.02322732,0.0985805,0.021810369
02,0.974997698,0.8759,63,0.398331047,0.050184995,-0.100318375,0.223144,0.044419332
